Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
30/01/2020,2161,2165.45,2125.5,2138.05,2139.06,78850,5440,168664661,39695,50.34,39.95,-22.95
29/01/2020,2187.25,2187.6,2148.65,2152.7,2163.37,179971,6509,389344261,133020,73.91,38.95,-34.55
28/01/2020,2172.3,2187.15,2153,2184.05,2176.62,158542,6357,345085253,107494,67.8,34.15,11.75
27/01/2020,2180,2193.45,2165,2168.65,2170.9,69104,3329,150017602,43574,63.06,28.45,-11.35
24/01/2020,2193.45,2193.45,2170.6,2184.6,2179.77,84902,5847,185066927,52188,61.47,22.85,-8.85
23/01/2020,2206.5,2217.2,2182.4,2193.45,2198.56,125220,9196,275303292,83780,66.91,34.8,-13.05
22/01/2020,2175.5,2210.1,2175.5,2206.5,2200.42,90713,5614,199606871,44040,48.55,34.6,31
21/01/2020,2174.95,2185,2160,2171.45,2170.57,43940,3860,95374939,9611,21.87,25,-3.5
20/01/2020,2194,2241.65,2156.7,2170.25,2182.35,214236,12384,467537318,93781,43.77,84.95,-23.75
17/01/2020,2242,2254.2,2213.05,2218.05,2229.3,71372,4668,159109249,18882,26.46,41.15,-23.95
16/01/2020,2225,2248.95,2220.4,2238.4,2235.44,61468,5291,137408233,14506,23.6,28.55,13.4
15/01/2020,2219,2231.55,2195,2226.55,2212.74,52151,3715,115396411,15309,29.36,36.55,7.55
14/01/2020,2199,2229.75,2198.75,2207.2,2217.21,121577,5440,269561866,62619,51.51,31,8.2
13/01/2020,2221,2221,2185.2,2191,2198.44,109319,7104,240330823,58219,53.26,35.8,-30
10/01/2020,2216,2233,2208,2213.85,2219.8,118682,6194,263450370,68967,58.11,25,-2.15
09/01/2020,2251.05,2251.05,2210.45,2216,2223.23,102267,6787,227363121,46375,45.35,40.6,-35.05
08/01/2020,2200,2259.95,2200,2255.05,2239.16,109402,8149,244968279,41723,38.14,59.95,55.05
07/01/2020,2201,2214.8,2184,2205.15,2204.49,44109,3583,97238058,9466,21.46,30.8,4.15
06/01/2020,2201,2226.4,2188.3,2200.15,2205.11,84845,5885,187092719,16410,19.34,38.1,-0.85
03/01/2020,2169,2223,2162.55,2200.4,2195.16,330173,8023,724783702,215288,65.2,60.45,31.4
02/01/2020,2173.1,2177.9,2150,2157.45,2159.02,56619,5570,122241681,22200,39.21,27.9,-15.65
01/01/2020,2170,2183.35,2154.25,2169.8,2171.63,36398,2476,79043025,7612,20.91,29.1,-0.2
31/12/2019,2185.25,2196.8,2158.3,2161.3,2171.6,39005,3573,84703347,10033,25.72,38.5,-23.95
30/12/2019,2202,2224.55,2176.5,2182.9,2192.83,49371,4198,108262037,13986,28.33,48.05,-19.1
27/12/2019,2210,2214.6,2178.35,2198.15,2191.54,60961,4403,133598289,14000,22.97,36.25,-11.85
26/12/2019,2219,2227.9,2197.1,2201.05,2207.56,49606,5823,109508031,18844,37.99,30.8,-17.95
24/12/2019,2244.95,2244.95,2210.9,2215.05,2223.02,39616,2620,88067287,9204,23.23,34.05,-29.9
23/12/2019,2217,2241.4,2211.6,2232.45,2229.61,53150,4482,118503617,16222,30.52,29.8,15.45
20/12/2019,2225,2246.15,2209.4,2222.55,2228.47,139678,8868,311268178,22232,15.92,36.75,-2.45
19/12/2019,2165.15,2235.85,2165,2228.65,2204.44,170417,11002,375674190,53090,31.15,70.85,63.5
18/12/2019,2172,2203.6,2152.35,2167.25,2183.16,189902,10236,414587386,37877,19.95,51.25,-4.75
17/12/2019,2130,2169,2119.25,2165.65,2149.11,194169,8739,417289999,90403,46.56,49.75,35.65
16/12/2019,2095,2135.7,2080.95,2127.55,2116.15,184800,12550,391065271,51983,28.13,54.75,32.55
13/12/2019,2023,2076.45,2007.4,2071.7,2051.22,197206,12072,404512625,37642,19.09,69.05,48.7
12/12/2019,2047,2083.35,1983.85,2016.75,2037.95,192895,8958,393109785,44467,23.05,99.5,-30.25
11/12/2019,2021.05,2047,2007.95,2041.2,2032.18,239416,6680,486535866,139370,58.21,39.05,20.15
10/12/2019,2063.4,2063.55,2005,2012.5,2020.12,148258,9518,299499486,52946,35.71,58.55,-50.9
09/12/2019,2110,2128.15,2054.05,2060.7,2082.86,89534,8754,186486974,28570,31.91,74.1,-49.3
06/12/2019,2130,2130,2101,2122.95,2115.22,184863,5191,391025613,15547,8.41,29,-7.05
05/12/2019,2065,2126,2065,2121.5,2098.19,251530,10189,527758089,39508,15.71,61,56.5
04/12/2019,2045,2081.85,2045,2079,2066.85,269706,6175,557441138,166777,61.84,36.85,34
03/12/2019,2025.1,2061.8,2011,2050.4,2023.69,792810,6950,1604398797,560818,70.74,50.8,25.3
02/12/2019,2060,2079,2017,2020.95,2041.16,191856,8371,391607908,138609,72.25,62,-39.05
29/11/2019,2085,2085,2046,2052.7,2054.97,104712,6087,215180224,65263,62.33,39,-32.3
28/11/2019,2069.8,2093.95,2061.3,2077.35,2082.31,93915,6333,195560077,39005,41.53,32.65,7.55
27/11/2019,2048.15,2071,2047.55,2053.45,2056.76,97304,6271,200131375,49086,50.45,23.45,5.3
26/11/2019,2090,2097.9,2036,2046.9,2066.11,142885,7546,295215752,69002,48.29,61.9,-43.1
25/11/2019,2082,2085.7,2053.2,2080.2,2077.07,126304,6277,262342812,67357,53.33,32.5,-1.8
22/11/2019,2110,2110,2061,2070.55,2077.71,146157,8391,303672561,48855,33.43,49,-39.45
21/11/2019,2110,2126.75,2108.15,2117.05,2121.28,74769,4502,158605706,32661,43.68,18.6,7.05
20/11/2019,2116.1,2135.8,2095.1,2108,2112.32,76522,7236,161639107,28471,37.21,40.7,-8.1
19/11/2019,2152,2153.95,2105.1,2108.3,2117.09,100949,7554,213718104,53010,52.51,48.85,-43.7
18/11/2019,2187,2187.65,2148.15,2151.75,2161.72,406587,3640,878926700,379546,93.35,39.5,-35.25
15/11/2019,2199,2211,2168.55,2174.8,2192.88,70965,3651,155618039,18576,26.18,42.45,-24.2
14/11/2019,2181,2199.55,2145.35,2195.6,2181.37,106873,4763,233129159,23841,22.31,54.2,14.6
13/11/2019,2110.2,2182,2110.2,2178.55,2162.51,135698,6147,293448318,57573,42.43,71.8,68.35
11/11/2019,2144,2144,2091.3,2099.7,2104.09,142808,5004,300480680,49237,34.48,52.7,-44.3
08/11/2019,2185.5,2188.25,2124.75,2129.95,2153.92,110688,6294,238413160,57815,52.23,63.5,-55.55
07/11/2019,2196.1,2203.85,2176.05,2185.5,2186.13,44386,2551,97033459,15616,35.18,27.8,-10.6
06/11/2019,2201.6,2210.8,2178.95,2188.4,2192.49,57283,3266,125592443,15121,26.4,31.85,-13.2
05/11/2019,2192,2211.9,2169.1,2201.6,2188.6,58756,3506,128593250,15683,26.69,42.8,9.6
04/11/2019,2224.9,2229.7,2181.55,2193.8,2196.5,134752,5576,295982133,75235,55.83,48.15,-31.1
01/11/2019,2270,2274.2,2195.5,2202.05,2218.32,109603,9074,243134680,46017,41.99,78.7,-67.95
31/10/2019,2250,2285.5,2238,2270.2,2268.79,118046,5964,267821108,39120,33.14,47.5,20.2
30/10/2019,2217,2260,2176.75,2253.65,2232.5,152519,7049,340499068,54665,35.84,83.25,36.65
29/10/2019,2116.6,2200.95,2116.6,2196,2175.35,157630,7952,342899967,88184,55.94,84.35,79.4
27/10/2019,2130.5,2133.9,2110,2116.6,2118.17,13696,1486,29010450,9278,67.74,23.9,-13.9
25/10/2019,2088,2129.5,2075,2125.05,2104.38,108564,6983,228459751,53029,48.85,54.5,37.05
24/10/2019,2075.1,2099,2062,2082.2,2072.7,149770,4657,310427833,101241,67.6,37,7.1
23/10/2019,2065,2084,2052.6,2075.25,2071.04,60167,3847,124608553,18224,30.29,31.4,10.25
22/10/2019,2081,2109.95,2040.45,2051.65,2071.44,119818,6716,248195603,31776,26.52,69.5,-29.35
18/10/2019,2038,2064,2025.1,2057.35,2045.45,85260,3761,174395253,30349,35.6,38.9,19.35
17/10/2019,2015,2037.8,2001,2030.7,2017.79,131597,5348,265534765,68650,52.17,36.8,15.7
16/10/2019,2039,2056,2016.5,2045.85,2031.83,81105,4480,164791175,25851,31.87,39.5,6.85
15/10/2019,2028.8,2046.9,2024.2,2037.4,2039.88,137747,5694,280987193,96436,70.01,22.7,8.6
14/10/2019,2000,2031.9,1969,2020.95,2007.03,113276,6889,227348183,42109,37.17,62.9,20.95
11/10/2019,1933,1994.4,1929,1987.05,1960.55,477346,24449,935861556,159021,33.31,65.4,54.05
10/10/2019,2028,2039,1998.85,2004.4,2015.95,219994,9748,443496514,115035,52.29,40.15,-23.6
09/10/2019,2052.85,2056.7,2015.8,2020.65,2026.46,87599,7676,177516019,34826,39.76,40.9,-32.2
07/10/2019,2080,2094.8,2041.05,2052.85,2060.02,95756,5359,197258913,45672,47.7,53.75,-27.15
04/10/2019,2079.7,2087,2054.75,2078.65,2078.08,44798,3631,93093638,13735,30.66,32.25,-1.05
03/10/2019,2070,2081.05,2047,2058.85,2065.01,82996,3665,171387558,46837,56.43,34.05,-11.15
01/10/2019,2099.5,2099.55,2040.3,2059.7,2060.14,76242,5280,157068845,25819,33.86,59.25,-39.8
30/09/2019,2060.1,2103.9,2060.1,2099.2,2089.66,113250,6785,236653560,44654,39.43,43.8,39.1
27/09/2019,2087,2087,2053,2056.7,2064.39,84102,6423,173618930,35640,42.38,34,-30.3
26/09/2019,2091,2106.95,2063,2087.65,2084.56,97699,8381,203659669,36024,36.87,43.95,-3.35
25/09/2019,2057,2092.05,2057,2087.8,2074.82,167063,8601,346625163,51038,30.55,35.05,30.8
24/09/2019,2015,2062.35,2013.7,2044.3,2042.05,233358,14976,476528779,61349,26.29,48.65,29.3
23/09/2019,2085,2089,1975,2014.75,2011.06,470064,25358,945328515,203147,43.22,114,-70.25
20/09/2019,2102.5,2129.25,2055.6,2065.6,2086.81,261727,16465,546175415,101391,38.74,73.65,-36.9
19/09/2019,2138.85,2138.9,2091.55,2102.15,2104.32,74797,7047,157397109,23113,30.9,47.35,-36.7
18/09/2019,2115,2143.75,2114.3,2138.25,2134.48,81032,4861,172960809,20852,25.73,29.45,23.25
17/09/2019,2154,2155.85,2107,2121.35,2122.8,120315,7283,255404323,47693,39.64,48.85,-32.65
16/09/2019,2150.35,2173.5,2127.3,2149.15,2151.8,96788,7044,208268674,22557,23.31,46.2,-1.2
13/09/2019,2138,2157.9,2116.2,2141.35,2136.69,113836,8567,243231963,26575,23.34,41.7,3.35
12/09/2019,2154,2164.95,2120.65,2133.85,2136.01,77824,7912,166232672,25271,32.47,44.3,-20.15
11/09/2019,2192,2200,2147.05,2153.95,2162.38,83914,8289,181454261,36239,43.19,52.95,-38.05
09/09/2019,2203,2203,2180,2183.3,2188.61,48168,3903,105421063,19038,39.52,23,-19.7
06/09/2019,2215,2231.7,2190.85,2197.65,2204.2,56482,3971,124497763,17335,30.69,40.85,-17.35
05/09/2019,2246.65,2253.1,2208,2215.8,2225.05,54328,3778,120882552,15040,27.68,45.1,-30.85
04/09/2019,2269.7,2269.9,2234,2246.1,2248.97,44608,3143,100322139,18318,41.06,35.9,-23.6
03/09/2019,2259,2296,2237.15,2252.25,2277.68,69973,4784,159376194,19468,27.82,58.85,-6.75
30/08/2019,2236.05,2266.1,2218,2258.05,2240.11,56766,2812,127161826,14553,25.64,48.1,22
29/08/2019,2239,2248,2222.05,2233.3,2236.16,31047,2455,69426210,8948,28.82,25.95,-5.7
28/08/2019,2242,2251.1,2216.05,2239.65,2232.57,38316,2932,85542989,9574,24.99,35.05,-2.35
27/08/2019,2270,2273,2229,2237,2267.82,203658,5018,461859392,165961,81.49,44,-33
26/08/2019,2254,2280,2225.2,2275.1,2257.71,78887,4397,178104173,28981,36.74,54.8,21.1
23/08/2019,2221.5,2260,2212.75,2247.55,2244.83,83246,4710,186873526,21896,26.3,47.25,26.05
22/08/2019,2186.05,2235,2171,2214.9,2212.94,67488,3953,149346721,18818,27.88,64,28.85
21/08/2019,2187,2202.5,2180.95,2185.85,2194.55,64591,3048,141747925,10548,16.33,21.55,-1.15
20/08/2019,2168.5,2205.7,2168,2187.15,2178.11,294610,6908,641693586,166705,56.58,37.7,18.65
19/08/2019,2167,2185,2158.2,2163.55,2171.44,45987,2891,99857989,10231,22.25,26.8,-3.45
16/08/2019,2233,2237,2145.9,2163.5,2172.2,168125,6367,365201445,95477,56.79,91.1,-69.5
14/08/2019,2182,2217.8,2168.8,2204.65,2197.71,254492,5561,559299031,175274,68.87,49,22.65
13/08/2019,2250.2,2250.2,2195,2200.2,2214.49,78148,4554,173057748,24006,30.72,55.2,-50
09/08/2019,2270,2270,2242,2245.6,2253.19,47328,3921,106638947,13461,28.44,28,-24.4
08/08/2019,2222,2280.85,2220,2258.85,2248.51,91474,5172,205680438,28023,30.63,60.85,36.85
07/08/2019,2220,2238.5,2208.4,2214,2224.32,59921,3491,133283272,21461,35.82,30.1,-6
06/08/2019,2232,2251.75,2211.55,2215.45,2231.58,66361,4375,148089942,20662,31.14,40.2,-16.55
05/08/2019,2185,2250.4,2185,2248.55,2239.94,105681,7414,236719167,34735,32.87,65.4,63.55
02/08/2019,2179.9,2210,2166.4,2206.05,2177.33,192986,4626,420194057,61890,32.07,43.6,26.15
01/08/2019,2206,2217,2166.85,2179.9,2195.28,59288,3548,130153880,14770,24.91,50.15,-26.1
31/07/2019,2175,2210.95,2148.3,2205.4,2178.41,73304,4073,159686224,21500,29.33,62.65,30.4
30/07/2019,2125,2184.7,2121,2179,2163.72,81306,5314,175923081,26377,32.44,63.7,54
29/07/2019,2111,2141.75,2103.6,2129.5,2126.15,64054,3887,136188283,15956,24.91,38.15,18.5
26/07/2019,2111,2130.1,2096,2108.8,2109.18,43813,2866,92409461,13866,31.65,34.1,-2.2
25/07/2019,2115,2134.8,2094,2128.3,2117.2,60682,2952,128475796,22990,37.89,40.8,13.3
24/07/2019,2115,2120.65,2076.6,2096.7,2097.83,91060,4272,191028809,23811,26.15,44.05,-18.3
23/07/2019,2127.8,2128.95,2102.95,2111.8,2117.55,90107,4025,190806142,36997,41.06,26,-16
22/07/2019,2080,2117,2068.85,2109.7,2096.05,72161,4523,151253205,23839,33.04,48.15,29.7
19/07/2019,2095,2096.75,2064,2076.95,2082.87,89018,4561,185412760,34037,38.24,32.75,-18.05
18/07/2019,2115,2115,2060,2065.6,2082.58,95604,6283,199102779,41903,43.83,55,-49.4
